Taxa,Origin,Body.Length.Grat,Microscope.Corr.Fac,Cup,Cup.Weight(g),Body.Length(mm),Cup.Org.Weight(g),Org.Weight(g),Comments
Ephemeroptera,Toledo,66,10,25,0.501,9.4285714286,0.50434,0.00334,
Ephemeroptera,Toledo,68,10,26,0.503,9.7142857143,0.50435,0.00135,
Ephemeroptera,Toledo,52,10,27,0.5005,7.4285714286,0.50107,0.00057,
Ephemeroptera,Toledo,40,10,28,0.501,5.7142857143,0.50133,0.00033,
Ephemeroptera,Toledo,57,10,29,0.5,8.1428571429,0.50159,0.00159,
Ephemeroptera,Toledo,68,10,30,0.5025,9.7142857143,0.50508,0.00258,
Ephemeroptera,Toledo,55,10,31,0.5025,7.8571428571,0.50366,0.00116,
Ephemeroptera,Toledo,58,10,32,0.5,8.2857142857,0.50117,0.00117,
Ephemeroptera,Toledo,56,10,33,0.514,8,0.51538,0.00138,
Ephemeroptera,Toledo,53,10,34,0.516,7.5714285714,0.51691,0.00091,
Ephemeroptera,Toledo,70,10,35,0.5145,10,0.51722,0.00272,
Ephemeroptera,Toledo,63,10,36,0.511,9,0.51283,0.00183,
Ephemeroptera,Toledo,64,10,37,0.515,9.1428571429,0.51696,0.00196,
Ephemeroptera,Toledo,54,10,38,0.512,7.7142857143,0.51277,0.00077,
Ephemeroptera,Toledo,62,10,39,0.508,8.8571428571,0.50969,0.00169,
Ephemeroptera,Toledo,68,10,40,0.514,9.7142857143,0.51551,0.00151,
Ephemeroptera,Toledo,60,10,41,0.506,8.5714285714,0.50725,0.00125,
Ephemeroptera,Toledo,67,10,42,0.505,9.5714285714,0.50605,0.00105,
Ephemeroptera,Toledo,73,10,43,0.509,10.4285714286,0.51132,0.00232,
Ephemeroptera,Toledo,65,10,44,0.5095,9.2857142857,0.51108,0.00158,
Ephemeroptera,Toledo,67,10,45,0.5105,9.5714285714,0.51237,0.00187,
Ephemeroptera,Toledo,66,10,46,0.512,9.4285714286,0.51388,0.00188,
Ephemeroptera,Toledo,54,10,47,0.509,7.7142857143,0.50981,0.00081,
Ephemeroptera,Toledo,65,10,48,0.51,9.2857142857,0.51036,0.00036,
Ephemeroptera,Toledo,74,10,49,0.506,10.5714285714,0.51067,0.00467,
Ephemeroptera,Toledo,61,10,50,0.508,8.7142857143,0.50986,0.00186,
Ephemeroptera,Toledo,74,10,51,0.506,10.5714285714,0.50849,0.00249,in at 18:42 on 26/04/17
Mosquito,Murcia,83,10,52,0.511,11.8571428571,0.51239,0.00139,Body measured from head to end of SEGMENTED body
Mosquito,Murcia,54,10,53,0.507,7.7142857143,0.50764,0.00064,out at 11:20 on 28/04/17
Mosquito,Murcia,66,10,54,0.512,9.4285714286,0.51246,0.00046,
Mosquito,Murcia,89,10,55,0.51,12.7142857143,0.51094,0.00094,
Mosquito,Murcia,62,10,56,0.5165,8.8571428571,0.51692,0.00042,
Mosquito,Murcia,90,10,57,0.511,12.8571428571,0.51291,0.00191,
Mosquito,Murcia,98,10,58,0.513,14,0.51541,0.00241,
Mosquito,Murcia,80,10,59,0.51,11.4285714286,0.51133,0.00133,
Mosquito,Murcia,79,10,60,0.509,11.2857142857,0.50982,0.00082,
Mosquito,Murcia,35,10,61,0.51075,5,0.51102,0.00027,
Mosquito,Murcia,78,10,62,0.508,11.1428571429,0.50972,0.00172,
Mosquito,Murcia,58,10,63,0.5115,8.2857142857,0.51179,0.00029,
Mosquito,Murcia,94,10,64,0.5125,13.4285714286,0.51468,0.00218,
Mosquito,Murcia,83,10,65,0.5095,11.8571428571,0.51083,0.00133,
Mosquito,Murcia,80,10,66,0.5095,11.4285714286,0.51058,0.00108,
Mosquito,Murcia,48,10,67,0.5105,6.8571428571,0.51091,0.00041,
Mosquito,Murcia,78,10,68,0.5075,11.1428571429,0.50888,0.00138,
Mosquito,Murcia,79,10,69,0.509,11.2857142857,0.51023,0.00123,
Mosquito,Murcia,71,10,70,0.5075,10.1428571429,0.50828,0.00078,
Mosquito,Murcia,61,10,71,0.5075,8.7142857143,0.50901,0.00151,
Mosquito,Murcia,88,10,72,0.5105,12.5714285714,0.51304,0.00254,
Mosquito,Murcia,80,10,73,0.511,11.4285714286,0.51219,0.00119,
Mosquito,Murcia,91,10,74,0.505,13,0.50673,0.00173,
Mosquito,Murcia,83,10,75,0.50875,11.8571428571,0.50989,0.00114,
Mosquito,Murcia,68,10,76,0.5075,9.7142857143,0.50851,0.00101,
Mosquito,Murcia,90,10,77,0.5065,12.8571428571,0.50822,0.00172,
Mosquito,Murcia,81,10,78,0.5085,11.5714285714,0.50981,0.00131,
Mosquito,Murcia,98,10,79,0.511,14,0.51329,0.00229,
Mosquito,Murcia,82,10,80,0.514,11.7142857143,0.51575,0.00175,
Mosquito,Murcia,75,10,81,0.5095,10.7142857143,0.51083,0.00133,
Mosquito,Murcia,57,10,82,0.512,8.1428571429,0.51232,0.00032,
Mosquito,Murcia,59,10,83,0.498,8.4285714286,0.49837,0.00037,
Mosquito,Murcia,78,10,84,0.502,11.1428571429,0.50333,0.00133,
Mosquito,Murcia,88,10,85,0.5135,12.5714285714,0.51505,0.00155,
Mosquito,Murcia,54,10,86,0.5125,7.7142857143,0.51285,0.00035,
Mosquito,Murcia,47,10,87,0.511,6.7142857143,0.51126,0.00026,
Mosquito,Murcia,62,10,88,0.5115,8.8571428571,0.51262,0.00112,
Mosquito,Murcia,92,10,89,0.5125,13.1428571429,0.51406,0.00156,
Mosquito,Murcia,88,10,90,0.511,12.5714285714,0.51283,0.00183,
Mosquito,Murcia,67,10,91,0.513,9.5714285714,0.51438,0.00138,
Mosquito,Murcia,96,10,92,0.512,13.7142857143,0.51433,0.00233,
Mosquito,Murcia,90,10,93,0.5135,12.8571428571,0.51507,0.00157,
Mosquito,Murcia,81,10,94,0.5113,11.5714285714,0.51227,0.00097,
Mosquito,Murcia,68,10,95,0.5115,9.7142857143,0.51266,0.00116,
Mosquito,Murcia,77,10,96,0.5105,11,0.51158,0.00108,
Mosquito,Murcia,78,10,97,0.511,11.1428571429,0.51215,0.00115,
Mosquito,Murcia,86,10,98,0.509,12.2857142857,0.51094,0.00194,
Mosquito,Murcia,84,10,99,0.509,12,0.51057,0.00157,
Mosquito,Murcia,90,10,100,0.511,12.8571428571,0.51277,0.00177,
Mosquito,Murcia,77,10,101,0.508,11,0.50878,0.00078,
Mosquito,Murcia,95,10,102,0.5047,13.5714285714,0.50713,0.00243,
